wlen,transmission
251.64922,1.00E-06
251.84339,1.00E-06
252.03756,1.00E-06
252.23173,1.00E-06
252.4259,1.00E-06
252.62007,1.00E-06
252.81424,1.00E-06
253.00841,1.00E-06
253.20258,1.00E-06
253.39675,1.00E-06
253.59092,1.00E-06
253.78509,1.00E-06
253.97926,1.00E-06
254.17343,1.00E-06
254.3676,1.00E-06
254.56177,1.00E-06
254.75594,1.00E-06
254.95011,1.00E-06
255.14428,1.00E-06
255.33845,1.00E-06
255.53262,1.00E-06
255.72679,1.00E-06
255.92096,1.00E-06
256.11513,1.00E-06
256.3093,1.00E-06
256.50347,1.00E-06
256.69764,1.00E-06
256.89181,1.00E-06
257.08598,1.00E-06
257.28015,1.00E-06
257.47432,1.00E-06
257.66849,1.00E-06
257.86266,1.00E-06
258.05683,1.00E-06
258.251,1.00E-06
258.44517,1.00E-06
258.63934,1.00E-06
258.83351,1.00E-06
259.02768,1.00E-06
259.22185,1.00E-06
259.41602,1.00E-06
259.61019,1.00E-06
259.80436,1.00E-06
259.99853,1.00E-06
260.1927,1.00E-06
260.38687,1.00E-06
260.58104,1.00E-06
260.77521,1.00E-06
260.96938,1.00E-06
261.16355,1.00E-06
261.35772,1.00E-06
261.55189,1.00E-06
261.74606,1.00E-06
261.94023,1.00E-06
262.1344,1.00E-06
262.32857,1.00E-06
262.52274,1.00E-06
262.71691,1.00E-06
262.91108,1.00E-06
263.10525,1.00E-06
263.29942,1.00E-06
263.49359,1.00E-06
263.68776,1.00E-06
263.88193,1.00E-06
264.0761,1.00E-06
264.27027,1.00E-06
264.46444,1.00E-06
264.65861,1.00E-06
264.85278,1.00E-06
265.04695,1.00E-06
265.24112,1.00E-06
265.43529,1.00E-06
265.62946,1.00E-06
265.82363,1.00E-06
266.0178,1.00E-06
266.21197,1.00E-06
266.40614,1.00E-06
266.60031,1.00E-06
266.79448,1.00E-06
266.98865,1.00E-06
267.18282,1.00E-06
267.37699,1.00E-06
267.57116,1.00E-06
267.76533,1.00E-06
267.9595,1.00E-06
268.15367,1.00E-06
268.34784,1.00E-06
268.54201,1.00E-06
268.73618,1.00E-06
268.93035,1.00E-06
269.12452,1.00E-06
269.31869,1.00E-06
