178.13	0.0000E00
178.35	0.0000E00
178.57	0.0000E00
178.79	-0.0000E00
179.01	0.0000E00
179.23	-0.0000E00
179.45	-0.0000E00
179.67	0.0000E00
179.89	0.0000E00
180.11	-0.0000E00
180.33	0.0000E00
180.55	0.0000E00
180.77	-0.0000E00
180.99	-0.0000E00
181.21	-0.0000E00
181.43	0.0000E00
181.65	0.0000E00
181.87	0.0000E00
182.09	-0.0000E00
182.31	0.0000E00
182.53	0.0000E00
182.75	0.0000E00
182.97	0.0000E00
183.19	-0.0000E00
183.41	-0.0000E00
183.63	0.0000E00
183.85	0.0000E00
184.07	0.0000E00
184.29	0.0000E00
184.51	-0.0000E00
184.73	0.0000E00
184.95	-0.0000E00
185.17	0.0000E00
185.39	0.0000E00
185.61	0.0000E00
185.83	-0.0000E00
186.05	-0.0000E00
186.27	0.0000E00
186.48	0.0000E00
186.70	-0.0000E00
186.92	0.0000E00
187.14	0.0000E00
187.36	0.0000E00
187.58	0.0000E00
187.80	0.0000E00
188.02	-0.0000E00
188.24	0.0000E00
188.46	0.0000E00
188.68	0.0000E00
188.90	-0.0000E00
189.12	0.0000E00
189.34	0.0000E00
189.56	0.0000E00
189.78	-0.0000E00
190.00	0.0000E00
190.22	-0.0000E00
190.44	0.0000E00
190.66	0.0000E00
190.88	-0.0000E00
191.09	-0.0000E00
191.31	0.0000E00
191.53	0.0000E00
191.75	0.0000E00
191.97	0.0000E00
192.19	0.0000E00
192.41	-0.0000E00
192.63	0.0000E00
192.85	0.0000E00
193.07	0.0000E00
193.29	-0.0000E00
193.51	0.0000E00
193.73	0.0000E00
193.95	0.0000E00
194.16	0.0000E00
194.38	0.0000E00
194.60	0.0000E00
194.82	0.0000E00
195.04	0.0000E00
195.26	0.0000E00
195.48	0.0000E00
195.70	0.0000E00
195.92	0.0000E00
196.14	0.0000E00
196.36	0.0000E00
196.58	0.0000E00
196.79	-0.0000E00
197.01	0.0000E00
197.23	-0.0000E00
197.45	0.0000E00
197.67	0.0000E00
197.89	-0.0000E00
198.11	0.0000E00
198.33	0.0000E00
198.55	0.0000E00
198.77	0.0000E00
198.98	0.0000E00
199.20	0.0000E00
199.42	-0.0000E00
199.64	0.0000E00
199.86	0.0000E00
200.08	1.5568E-01
200.30	-3.5046E-02
200.52	1.2822E-01
200.74	7.8439E-02
200.95	9.7054E-03
201.17	2.5082E-01
201.39	2.7993E-01
201.61	1.3845E-01
201.83	2.9118E-01
202.05	-9.3514E-02
202.27	3.9954E-03
202.49	1.7810E-01
202.71	2.1312E-01
202.92	2.6564E-02
203.14	-4.1196E-02
203.36	-1.1439E-02
203.58	1.5785E-01
203.80	9.2697E-02
204.02	1.1770E-01
204.24	8.9857E-02
204.45	1.4021E-01
204.67	1.3533E-01
204.89	2.9715E-01
205.11	7.0910E-03
205.33	7.6988E-02
205.55	1.7486E-01
205.77	-7.5013E-02
205.99	-6.7538E-02
206.20	4.1064E-02
206.42	-1.0220E-01
206.64	1.5737E-01
206.86	6.0463E-02
207.08	-3.5343E-02
207.30	-3.7502E-02
207.51	6.8338E-02
207.73	-1.6643E-02
207.95	1.8307E-01
208.17	9.0125E-02
208.39	1.4278E-01
208.61	-6.6580E-02
208.83	5.2973E-02
209.04	6.4330E-02
209.26	2.4386E-03
209.48	-1.0329E-01
209.70	5.8838E-02
209.92	3.6618E-02
210.14	-6.8008E-03
210.35	0.0000E00
210.57	1.1720E-01
210.79	-1.9700E-02
211.01	7.7818E-02
211.23	4.2421E-02
211.45	1.6731E-02
211.66	1.1715E-01
211.88	7.4926E-02
212.10	4.0021E-03
212.32	-8.7044E-02
212.54	8.9812E-02
212.76	2.8909E-02
212.97	7.9706E-02
213.19	-1.1047E-01
213.41	1.6607E-01
213.63	7.1145E-02
213.85	-1.2576E-02
214.06	1.6043E-02
214.28	-3.8615E-02
214.50	-2.2646E-02
214.72	9.1358E-02
214.94	8.5035E-02
215.16	-1.8472E-02
215.37	2.1546E-02
215.59	4.9053E-02
215.81	3.8848E-02
216.03	7.5105E-02
216.25	6.7712E-02
216.46	5.4315E-02
216.68	-8.7701E-02
216.90	5.1562E-02
217.12	-1.4932E-03
217.34	1.4786E-03
217.55	3.9640E-02
217.77	1.4604E-02
217.99	8.2650E-02
218.21	-1.4245E-03
218.43	5.4759E-02
218.64	-5.5494E-03
218.86	8.3183E-02
219.08	9.3877E-03
219.30	-5.8263E-02
219.51	1.8366E-02
219.73	5.7054E-02
219.95	-2.3041E-02
220.17	2.5175E-03
220.39	3.9624E-02
220.60	2.8239E-02
220.82	4.8736E-02
221.04	3.9873E-02
221.26	5.3937E-02
221.47	2.1343E-02
221.69	-5.8617E-03
221.91	2.3222E-02
222.13	-1.1473E-02
222.35	6.2418E-02
222.56	1.0145E-02
222.78	3.5887E-02
223.00	4.8814E-02
223.22	4.0553E-02
223.43	8.7517E-02
223.65	5.5455E-02
223.87	1.0933E-01
224.09	-2.9067E-02
224.30	8.3427E-02
224.52	3.5757E-02
224.74	2.2308E-02
224.96	7.2576E-02
225.17	2.3984E-02
225.39	2.0775E-02
225.61	2.1469E-02
225.83	2.2210E-02
226.04	2.2986E-02
226.26	3.2370E-02
226.48	-6.4227E-02
226.70	3.4598E-02
226.91	-1.1148E-02
227.13	-5.5243E-03
227.35	6.6347E-02
227.57	-3.7615E-02
227.78	5.5762E-02
228.00	1.7581E-03
228.22	-6.0994E-03
228.44	3.1069E-02
228.65	7.6167E-02
228.87	7.3803E-02
229.09	2.6091E-02
229.31	9.1491E-03
229.52	-4.1155E-02
229.74	-5.7194E-03
229.96	8.0973E-04
230.18	8.0314E-04
230.39	2.0616E-02
230.61	7.0770E-03
230.83	2.1070E-02
231.04	-3.1086E-02
231.26	6.9342E-03
231.48	2.2883E-03
231.70	4.5392E-03
231.91	1.4987E-03
232.13	-4.4552E-03
232.35	-4.4360E-03
232.56	5.2118E-02
232.78	-5.1170E-03
233.00	-6.5458E-03
233.22	2.0903E-02
233.43	1.2115E-02
233.65	0.0000E00
233.87	3.5141E-03
234.08	4.3238E-02
234.30	1.7316E-02
234.52	1.9225E-02
234.74	2.7140E-03
234.95	-3.3619E-03
235.17	3.1317E-02
235.39	2.6505E-03
235.60	6.5792E-03
235.82	1.1728E-02
236.04	-2.3247E-02
236.25	2.1775E-02
236.47	3.7980E-03
236.69	2.1959E-02
236.90	4.9017E-02
237.12	-2.2224E-02
237.34	-6.7441E-03
237.56	4.4618E-02
237.77	1.8777E-02
237.99	-2.5360E-02
238.21	-3.6058E-03
238.42	5.3791E-03
238.64	2.3749E-03
238.86	3.2539E-02
239.07	3.4625E-02
239.29	2.2817E-02
239.51	3.8294E-02
239.72	4.6077E-03
239.94	9.6922E-03
240.16	2.0399E-02
240.37	-1.2904E-02
240.59	2.0635E-02
240.81	2.8711E-02
241.02	0.0000E00
241.24	-1.0883E-02
241.46	3.1932E-02
241.67	5.8980E-03
241.89	2.4610E-02
242.11	1.4837E-02
242.32	4.2193E-03
242.54	1.5708E-03
242.76	-4.6934E-03
242.97	-1.5526E-03
243.19	3.0956E-03
243.41	3.0833E-03
243.62	-1.0737E-02
243.84	1.0177E-02
244.06	-4.5662E-03
244.27	1.5597E-02
244.49	3.0646E-02
244.70	5.0017E-03
244.92	-6.9620E-03
245.14	9.3740E-03
245.35	1.0783E-02
245.57	1.3619E-02
245.79	2.2977E-02
246.00	-8.2676E-03
246.22	2.0749E-02
246.44	6.2282E-03
246.65	2.0005E-02
246.87	4.2542E-03
247.09	6.1004E-03
247.30	2.0108E-02
247.52	1.1619E-02
247.73	1.0644E-02
247.95	-1.3813E-03
248.17	-6.7705E-03
248.38	-2.6787E-03
248.60	2.9271E-02
248.82	1.8072E-02
249.03	2.6257E-02
249.25	1.8791E-02
249.46	3.9136E-03
249.68	1.7726E-02
249.90	2.4970E-02
250.11	-6.8480E-03
250.33	3.4899E-02
250.54	2.0326E-02
250.76	3.3379E-02
250.98	7.1674E-03
251.19	8.3996E-03
251.41	1.7158E-02
251.63	-8.3169E-03
251.84	3.3087E-03
252.06	3.7031E-03
252.27	8.9961E-03
252.49	0.0000E00
252.71	2.8989E-02
252.92	3.0770E-02
253.14	9.7904E-03
253.35	1.2839E-02
253.57	-3.8646E-03
253.79	-3.8487E-03
254.00	2.4104E-02
254.22	3.0480E-02
254.43	1.4034E-02
254.65	7.9255E-03
254.86	1.1670E-02
255.08	4.8732E-03
255.30	-8.3370E-03
255.51	1.5491E-02
255.73	1.0919E-02
255.94	1.4999E-02
256.16	-1.7914E-02
256.38	7.0835E-03
256.59	8.9060E-03
256.81	-1.2554E-02
257.02	-8.0880E-03
257.24	-1.4662E-02
257.45	4.0037E-03
257.67	2.8947E-03
257.89	2.6982E-02
258.10	2.3905E-02
258.32	-9.9511E-03
258.53	2.6553E-02
258.75	1.2663E-02
258.96	1.6137E-02
259.18	1.0505E-03
259.40	-6.9742E-03
259.61	1.2173E-02
259.83	1.5976E-02
260.04	1.2099E-02
260.26	1.9286E-02
260.47	6.8727E-03
260.69	1.3048E-02
260.90	-4.4367E-03
261.12	1.9759E-02
261.34	2.1733E-02
261.55	1.0171E-02
261.77	1.3844E-02
261.98	0.0000E00
262.20	6.3514E-03
262.41	2.6032E-02
262.63	1.2335E-02
262.84	1.3342E-02
263.06	1.8602E-02
263.27	2.7162E-02
263.49	1.7453E-02
