wavelength,power,intensity
178.131,0,
178.351,0,
178.571,0,
178.791,0,
179.011,0,
179.231,0,
179.451,0,
179.671,0,
179.891,0,
180.111,0,
180.331,0,
180.551,0,
180.771,0,
180.991,0,
181.211,0,
181.431,0,
181.65,0,
181.87,0,
182.09,0,
182.31,0,
182.53,0,
182.75,0,
182.97,0,
183.189,0,
183.409,0,
183.629,0,
183.849,0,
184.068,0,
184.288,0,
184.508,0,
184.728,0,
184.947,0,
185.167,0,
185.387,0,
185.606,0,
185.826,0,
186.046,0,
186.265,0,
186.485,0,
186.705,0,
186.924,0,
187.144,0,
187.363,0,
187.583,0,
187.802,0,
188.022,0,
188.242,0,
188.461,0,
188.681,0,
188.9,0,
189.12,0,
189.339,0,
189.558,0,
189.778,0,
189.997,0,
190.217,0,
190.436,0,
190.656,0,
190.875,0,
191.094,0,
191.314,0,
191.533,0,
191.752,0,
191.972,0,
192.191,0,
192.41,0,
192.63,0,
192.849,0,
193.068,0,
193.288,0,
193.507,0,
193.726,0,
193.945,0,
194.165,0,
194.384,0,
194.603,0,
194.822,0,
195.041,0,
195.261,0,
195.48,0,
195.699,0,
195.918,0,
196.137,0,
196.356,0,
196.575,0,
196.794,0,
197.013,0,
197.232,0,
197.451,0,
197.671,0,
197.89,0,
198.109,0,
198.328,0,
198.547,0,
198.766,0,
198.984,0,
199.203,0,
199.422,0,
199.641,0,
199.86,0,
200.079,-27.54,
200.298,-46.98,
200.517,-27.04,
200.736,-53.36,
200.955,-64.95,
201.173,-67.6,
201.392,-54.53,
201.611,12.13,
201.83,-38.2,
202.049,21.62,
202.268,-29.1,
202.486,-4.68,
202.705,-66.2,
202.924,-31.06,
203.143,-20.16,
203.361,-6.8,
203.58,9.83,
203.799,8.96,
204.017,-47.39,
204.236,16.16,
204.455,-1.05,
204.673,-1.77,
204.892,-70.11,
205.111,-16.96,
205.329,31.55,
205.548,-15.71,
205.767,-32.56,
205.985,-21.82,
206.204,17.74,
206.422,-2.74,
206.641,6.53,
206.859,-25.34,
207.078,1.82,
207.296,-6.88,
207.515,-17.04,
207.733,-4.67,
207.952,8.12,
208.17,-32.56,
208.389,-15.53,
208.607,-26.08,
208.826,-12.32,
209.044,-36.83,
209.263,0.28,
209.481,-12.45,
209.699,-1.14,
209.918,-23.54,
210.136,2.08,
210.355,-9.38,
210.573,-13.23,
210.791,-10.03,
211.01,-15.1,
211.228,14.25,
211.446,6.1,
211.664,-29.56,
211.883,-14.75,
212.101,-14.17,
212.319,25.36,
212.537,-17.34,
212.756,-4.98,
212.974,7.81,
213.192,-3.9,
213.41,-2.18,
213.628,8.79,
213.847,-3.74,
214.065,-4.07,
214.283,-9.27,
214.501,17.8,
214.719,11.06,
214.937,2.92,
215.155,17.66,
215.373,-4.45,
215.591,-17.8,
215.81,-0.62,
216.028,-28.9,
216.246,-0.76,
216.464,-0.28,
216.682,-3.36,
216.9,-8.47,
217.118,1.82,
217.336,-13.28,
217.554,-3.94,
217.772,-5.09,
217.989,-4.33,
218.207,-12.8,
218.425,-6.3,
218.643,3.91,
218.861,-7.48,
219.079,-6.28,
219.297,3.07,
219.515,-0.37,
219.733,-11.39,
219.95,3.73,
220.168,-2.87,
220.386,7.7,
220.604,-2.07,
220.822,-7.29,
221.039,-9.65,
221.257,-1.18,
221.475,-6.26,
221.693,6.47,
221.91,-3.46,
222.128,4.61,
222.346,-22.11,
222.563,-5.5,
222.781,-10.75,
222.999,-0.76,
223.216,-2.61,
223.434,-5.82,
223.652,0.12,
223.869,-9.23,
224.087,-13.79,
224.305,-9.05,
224.522,-5.81,
224.74,-6.47,
224.957,-6.64,
225.175,2.22,
225.392,2.98,
225.61,0.7,
225.827,-15.63,
226.045,-8.13,
226.262,-5.22,
226.48,-1.59,
226.697,1.14,
226.915,-0.82,
227.132,-9.19,
227.35,-1.89,
227.567,-6.79,
227.784,-0.52,
228.002,-4.12,
228.219,-5.74,
228.437,-4.65,
228.654,7.2,
228.871,-13.98,
229.089,0.1,
229.306,4.75,
229.523,-7.15,
