irr,V2309285,V2310022,V2310052,V2310092,V2310125,V2310305
4.73,2.14,2.48,1.53,-1.98,-0.18,3.72
5.53,0.71,4.48,2.60,-0.27,-0.58,0.15
6.15,-0.76,7.60,2.45,-0.67,5.56,1.77
7.00,1.41,5.40,6.29,-1.43,5.68,-0.19
7.61,1.22,5.01,10.17,-0.12,2.96,1.49
8.23,3.12,9.37,6.23,1.10,9.75,0.42
8.93,5.19,15.51,19.50,3.60,20.93,4.46
9.49,7.88,18.86,19.60,14.86,20.79,8.82
