irr,V2310051,V2310112,V2310121,V2310124,V2310175,V2310193,V2310264
4.92,-0.24,1.01,3.15,-0.91,-1.53,0.67,7.20
5.72,-1.46,1.61,0.89,1.10,-0.88,2.29,0.67
6.34,-2.19,1.92,4.31,-5.74,-3.03,5.61,2.65
7.18,-0.82,0.15,3.30,-6.16,-5.08,2.16,7.44
7.80,-3.35,3.42,5.22,-1.65,-6.24,2.04,4.54
8.42,-2.07,5.16,0.49,-2.81,-6.29,3.35,4.18
9.12,1.38,1.96,10.11,4.88,-7.83,4.31,9.46
9.68,3.42,7.69,19.78,5.65,-6.47,5.98,12.57
