Intensity,step,V2307064,V2307103,V2307135,V2307181,V2307202,V2307214,V2308041,V2308101,V2308102,V2308154
4.67E+06,1,2.540259073,2.495948074,3.316391553,0.613366416,-0.226039765,0.328633617,-0.258786142,1.280692386,0.60367323,2.105957548
9.91E+06,2,5.271130273,5.461157081,4.678364362,3.165494492,-0.196577488,1.156329463,1.057041347,1.484542178,1.718298565,4.628333608
1.95E+07,3,7.336340616,7.479670761,6.298356618,3.782912304,0.839982273,0.800957034,3.820752561,1.497870731,2.752080868,4.814118902
4.04E+07,4,8.561018655,8.545227287,8.000152196,4.456334283,2.728145601,3.831780742,4.682978571,0.326390552,5.185524653,7.69577078
8.57E+07,5,9.568510721,10.90205979,9.672408666,5.278973466,5.938973906,4.663407634,5.927246988,1.351487445,8.832457732,11.23087935
1.69E+08,6,9.631880472,11.02024007,10.63771018,6.489688327,10.12496758,7.218593906,8.949625433,3.271277713,13.24512882,14.24779753
3.99E+08,7,15.17648382,14.20167374,10.82368812,8.506037524,17.17592716,8.894289325,13.07432121,4.938569354,16.35918827,19.59125761
8.47E+08,8,18.68692465,19.68558144,11.85110434,9.332045367,22.08782864,10.8728946,16.48173374,5.790395068,20.20858021,26.1098905
1.67E+09,9,24.97371359,22.96529031,11.33994731,11.45472698,25.57090855,11.53086693,14.74023289,7.229539203,22.75944347,29.39453558
3.08E+09,10,23.6872,30.55809235,13.51799067,13.47013932,28.04461956,12.73671372,16.52779621,10.27997332,24.00819416,32.5572286
4.67E+06,11,22.64233465,31.35415101,10.36362609,12.70681744,28.07250881,15.12501938,16.48341411,,23.29293842,32.06860403
9.91E+06,12,23.0085227,34.89324784,11.01052436,12.65700083,26.88015461,15.61360771,16.84322399,,22.58339329,33.5494924
1.95E+07,13,22.62836904,30.50771546,10.49539145,11.8070076,27.09852505,15.85974724,12.66580337,,24.78041668,30.19685415
4.04E+07,14,21.48027105,33.85491776,11.83847293,11.13547354,27.71711064,13.46904213,14.82930416,,19.5591795,29.52131704
8.57E+07,15,20.51867361,30.49204087,10.3084751,11.55063801,27.92118931,14.21916992,13.39813751,,20.14226169,31.13069204
1.69E+08,16,21.29451055,29.17180848,10.47909316,12.3875988,29.49905491,13.93567879,13.22528213,,20.9596693,31.55452017
3.99E+08,17,20.86393041,28.83832383,11.13912257,14.46418457,31.44711781,12.99688179,12.17787403,,21.67197819,34.62034277
8.47E+08,18,19.37353582,32.23932862,10.90197047,14.40837937,33.21227741,13.16654999,13.17936844,,22.66477794,36.22874884
1.67E+09,19,21.64578695,34.35620332,13.04500159,15.61358338,32.64108753,13.54873307,11.23188347,,24.34540577,36.13578085
3.08E+09,20,21.8525,36.48327851,12.90555629,15.56435471,29.41663838,11.84767945,11.63148636,,23.22826595,36.70577292
