Intensity,step,V2307102,V2307114,V2307133,V2307185,V2307204,V2307211,V2308033,V2308043,V2308081,V2308153
4.67E+06,1,-94.44496918,-27.57869339,-38.9432869,-64.59243774,-40.73699188,-28.46552086,-113.6669693,-95.33210754,-54.49743652,-98.6342926
9.91E+06,2,-168.1177521,-64.45050812,-90.94639587,-132.013916,-111.1342621,-46.04862595,-186.8144531,-159.5492249,-82.15547943,-160.8692627
1.95E+07,3,-211.8087769,-129.8377533,-154.9538879,-180.3644562,-198.8226624,-68.31163025,-234.5687408,-229.2215424,-110.7173615,-215.4354248
4.04E+07,4,-253.4457397,-202.1495209,-182.9048767,-254.0895996,-263.6896973,-93.44777679,-286.6748047,-271.4946594,-132.0069885,-255.4869843
8.57E+07,5,-289.987915,-259.1106262,-221.4743805,-294.2428284,-314.4124756,-129.271698,-307.2184448,-304.5846252,-140.8553619,-267.6948242
1.69E+08,6,-277.1316528,-291.5791626,-233.8230591,-326.3092346,-311.0241699,-130.7788086,-284.7278442,-309.6587219,-121.4670334,-266.6181641
3.99E+08,7,-313.9463196,-310.7628784,-227.4103088,-353.1861877,-291.0039368,-143.7705383,-287.9472656,-302.8443298,-118.9119186,-250.2934113
8.47E+08,8,-314.4151001,-292.7663879,-203.7001648,-363.1943359,-277.6582947,-135.9289246,-238.6816711,-293.2492371,-81.85709381,-230.023819
1.67E+09,9,-309.532135,-259.9066467,-182.4929962,-356.0611877,-246.5270844,-129.1888428,-163.7125092,-260.0825195,-64.97974396,-189.4597473
3.08E+09,10,-292.780365,-255.2613373,-147.0874023,-354.0587463,-218.6633301,-119.5768585,-110.9538269,-209.9383698,-59.13030624,-137.6835785
4.67E+06,11,-9.367542267,-4.879984379,-4.566499233,-3.701729774,-4.156870842,-4.622813702,-4.751617432,-4.743007183,-3.852771044,-3.714885235
9.91E+06,12,-15.10070515,-9.138010979,-6.218143463,-7.664174557,-6.752913475,-5.569537163,-5.281383991,-6.671095848,-2.911229134,-7.850628376
1.95E+07,13,-36.39525604,-15.84294891,-7.413407326,-15.92148972,-8.482374191,-10.01740074,-7.55426693,-9.829503059,-4.769023895,-11.74118233
4.04E+07,14,-73.59941864,-45.40473175,-11.69724369,-42.41014099,-22.17883682,-25.27174187,-8.888557434,-25.66823006,-5.889327049,-27.58633804
8.57E+07,15,-149.7525177,-86.53393555,-24.83636284,-96.60089874,-44.62821198,-52.25011063,-18.71281624,-63.8295784,-13.52128983,-50.03071594
1.69E+08,16,-201.9002838,-144.523468,-44.38220596,-178.7051239,-88.47945404,-81.88633728,-26.63108253,-105.2930222,-18.58431053,-76.6465683
3.99E+08,17,-259.033844,-193.5033417,-69.82133484,-278.9978638,-146.1368256,-124.8186188,-47.67037582,-167.0765991,-28.02970886,-102.9230652
8.47E+08,18,-297.2698364,-217.7212677,-90.20893097,-320.8924866,-176.9543152,-146.9431305,-59.18060684,-195.8727112,-36.4238739,-123.2749481
1.67E+09,19,-316.3216858,-215.3509064,-90.78456116,-342.2902527,-166.4079437,-143.3385773,-61.18962479,-215.2180023,-39.43983459,-113.709137
3.08E+09,20,-312.0692749,-174.8059998,-78.91802216,-318.7330933,-145.2795258,-145.6639709,-51.73723602,-200.9211731,-28.80657005,-100.6202011
